title,screenshot,casestudy,liveUrl,ghUrl,subtitle,headline
Google | User-Generated Street View,../images/2019redesign/streetview.jpeg,,,,User Research,Coming Soon
Cognizant Accelerator | Pharmacovigilance,../images/2019redesign/pharma.jpeg,../work/cognizantpharmacovigilence.html,,,User Research | UX Design,Conducting User validation to de-risk a multi-million-dollar funding decision
City of Austin | Recycling,../images/2019redesign/recycling.jpeg,../work/arr.html,http://projects.austintexas.io/resource-recovery/,,User Research | UX Design | UI & Code,Finding and trying new ways to help residents recycle and compost better
EA | Support Site Optimization,../images/2019redesign/game.jpeg,/work/ea.html,,,User Research,Understanding if our help website really helped and helping it help better
